Category,Sl.No.,Ministry/Department,Scheme,Actuals 2021-2022 Revenue,Actuals 2021-2022 Capital,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Total,Budget Estimates2023-2024 Total
Demand No. 1,1,Department of Agriculture and Farmers Welfare,Crop Insurance Scheme,13549.24,0,13549.24,15500,13625
Demand No. 1,2,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,21476.93,0,21476.93,0,0
Demand No. 1,3,Department of Agriculture and Farmers Welfare,Modified Interest Subvention Scheme (MISS),0,0,0,19500,23000
Demand No. 1,4,Department of Agriculture and Farmers Welfare,Market Intervention Scheme and Price Support Scheme (MIS-PSS),2288.33,0,2288.33,1500,0.01
Demand No. 1,5,Department of Agriculture and Farmers Welfare,Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),0,0,0,1,0.01
Demand No. 1,6,Department of Agriculture and Farmers Welfare,Distribution of Pulses to State / Union Territories for Welfare Schemes,50,0,50,9,800
Demand No. 1,7,Department of Agriculture and Farmers Welfare,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,691.3,0,691.3,0,0
Demand No. 1,8,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),66825.11,0,66825.11,68000,60000
Demand No. 1,9,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Man Dhan Yojana,39.5,0,39.5,100,100
Demand No. 1,10,Department of Agriculture and Farmers Welfare,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",427.04,0,427.04,500,955
Demand No. 1,11,Department of Agriculture and Farmers Welfare,Agriculture Infrastructure Fund (AIF),21.43,0,21.43,500,500
Demand No. 1,12,Department of Agriculture and Farmers Welfare,National Beekeeping Honey Mission (NBHM),0,0,0,100,0.01
Demand No. 2,13,Department of Agricultural Research and Education,Agricultural Extension,283.71,0,283.71,243.72,327
Demand No. 2,14,Department of Agricultural Research and Education,Agricultural Engineering,54.9,0,54.9,48.3,65
Demand No. 2,15,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,167.56,0,167.56,144.9,240
Demand No. 2,16,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,47,0,47,40.87,0
Demand No. 2,17,Department of Agricultural Research and Education,Crop Science,603.28,0,603.28,526.08,714.41
Demand No. 2,18,Department of Agricultural Research and Education,Horticultural Science,181.46,0,181.46,157.53,212
Demand No. 2,19,Department of Agricultural Research and Education,National Agricultural Science Fund,42,0,42,35.67,0
Demand No. 2,20,Department of Agricultural Research and Education,Animal Science,257.59,0,257.59,224.41,300
Demand No. 2,21,Department of Agricultural Research and Education,Fisheries Science,137.99,0,137.99,118.89,150
Demand No. 2,22,Department of Agricultural Research and Education,Agricultural Universities and Institutions,299.94,0,299.94,263.77,322.74
Demand No. 2,23,Department of Agricultural Research and Education,Economic Statistics and Management,27.65,0,27.65,24.51,0
Demand No. 2,24,Department of Agricultural Research and Education,National Agricultural Higher Education Project (EAP),224.63,0,224.63,167.18,92.26
Demand No. 3,25,Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC),0,1308.77,1308.77,1258.94,1012.9
Demand No. 3,26,Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),0,232.92,232.92,244.04,214.41
Demand No. 3,27,Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),0,89.26,89.26,100,140.69
Demand No. 3,28,Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),0,144.06,144.06,171.37,221.75
Demand No. 3,29,Atomic Energy,Grants to other Institutions,61.88,0,61.88,71,100
Demand No. 3,30,Atomic Energy,Fuel Recycle Projects (NRB),0,646.13,646.13,800,805.21
Demand No. 3,31,Atomic Energy,Housing Projects,0,216.74,216.74,182.5,206.9
Demand No. 3,32,Atomic Energy,Improvement/Modifications of Heavy water projects,0,33.42,33.42,25.97,50.23
Demand No. 3,33,Atomic Energy,Feedstock,0,1080.02,1080.02,1419.16,1599.47
Demand No. 3,34,Atomic Energy,Radiation and Isotopes Project (BRIT),0,27.14,27.14,38.71,44.14
Demand No. 3,35,Atomic Energy,Nuclear Power Projects,57.27,21.12,78.39,294.39,442.28
Demand No. 3,36,Atomic Energy,Nuclear Fuel Fabrication Projects,0,639.67,639.67,597.5,763.61
Demand No. 3,37,Atomic Energy,Atomic Energy Regulatory Board Expansion Project,0,23.56,23.56,44.72,15.81
Demand No. 3,38,Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC),0,34.99,34.99,67.21,73.62
Demand No. 3,39,Atomic Energy,Research and Development Projects,6.35,1249.95,1256.3,963.02,839.68
Demand No. 3,40,Atomic Energy,Industries and Minerals Projects,9,70,79,109,85.25
Demand No. 3,41,Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,0,430.82,430.82,660,515.5
Demand No. 3,42,Atomic Energy,Nuclear Fuel Inventory,-1732.1,0,-1732.1,388.29,-168.26
Demand No. 4,43,Ministry of Ayush,Assistance to accredited AYUSH Centres of Excellence in Non Governmental/ Private Sector engaged in AYUSH education/drug Development and Research/ Clinical Research/ Folk Medicine etc,0.02,0,0.02,0,0
Demand No. 4,44,Ministry of Ayush,AYUSH and Public Health,0.51,0,0.51,0,0
Demand No. 4,45,Ministry of Ayush,"Information, Education and Communication",30.04,0,30.04,43.88,41
Demand No. 4,46,Ministry of Ayush,Promotion of International Cooperation,62.94,0,62.94,86.1,44.27
Demand No. 4,47,Ministry of Ayush,Re-oreintation Training Programme of AYUSH Personnel/Continuing Medical Education (ROTP/CME),4.8,0,4.8,0,0
Demand No. 4,48,Ministry of Ayush,Extra Mural Research Projects through Research Institutes etc.,2.14,0,2.14,0,0
Demand No. 4,49,Ministry of Ayush,Champion Services Sector Scheme,19.13,0,19.13,60.22,21.68
Demand No. 4,50,Ministry of Ayush,Programme on 'Ayurveda-Biology Integrated Health Research',0,0,0,0.5,0
Demand No. 4,51,Ministry of Ayush,Pradhan Mantri VRIKSH AYUSH Yojana,0,0,0,1,0
Demand No. 4,52,Ministry of Ayush,AYURGYAN,4.49,0,4.49,15.5,9
Demand No. 4,53,Ministry of Ayush,Ayurswasthay Yojana,35,0,35,27.79,6
Demand No. 4,54,Ministry of Ayush,AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),1.77,0,1.77,23.5,20
Demand No. 4,55,Ministry of Ayush,"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",31.3,0,31.3,48.49,43.49
Demand No. 5,56,Department of Chemicals and Petrochemicals,Chemical Promotion and Development Scheme,3.14,0,3.14,3,0
Demand No. 5,57,Department of Chemicals and Petrochemicals,Promotion of Petrochemicals,51.57,0,51.57,48.5,0
